"","arrests_B","arrests_W","arrests_total","ct_pop","ct_white","ct_black","sir_total","sir_white","sir_black","eTot","eW","eB"
"106",360,115,477,2419,402,1933,5.771363025284,16.2694293790815,11.3589871616697,82.6494535017622,7.06847162985701,31.6929665362067
"107",445,175,623,2512,246,1990,7.25879102699906,40.457912931014,13.6387916969024,85.8269645293207,4.32548263916623,32.6275237491213
"108",434,111,546,2724,344,2036,5.86653169771028,18.3512254234928,13.0011245192675,93.0703230007443,6.04864238972838,33.3817278156839
"109",169,59,229,2538,1306,1212,2.64082575396456,2.56926776758144,8.50458344566551,86.7153009456273,22.9637411656548,19.8716375798668
"110",219,91,310,2409,1256,1111,3.76635086892899,4.12052246985296,12.0226171571861,82.3077856493366,22.0845780276129,18.2156677815446
"111",248,86,335,2131,1155,934,4.60105303657034,4.2346449274881,16.194732041131,72.8094193519038,20.3086684887683,15.3136216993363
"112",208,61,269,2180,1212,945,3.61153367332677,2.86238303367655,13.4245732338906,74.4835918287894,21.310914466136,15.4939748456882
"113",140,72,212,2160,1153,980,2.87261875682346,3.55143379424666,8.71306435853474,73.8002561239382,20.2735019632466,16.0678257658989
"114",196,84,282,1983,1233,708,4.1621935916524,3.87450961791901,16.8846388416803,67.7527351360043,21.6801629841137,11.6081843288331
"115",211,113,326,2472,1177,1248,3.8598019016853,5.46012411048102,10.3118558153492,84.4602931196181,20.6955002695067,20.4618842406549
"116",189,86,277,2527,1327,1173,3.20826629865866,3.68576856913998,9.82726696192793,86.3394663079591,23.3329896836325,19.2322036973463
"117",197,84,284,2540,1261,1254,3.2725064072682,3.7884776835005,9.58159150751149,86.7836345161125,22.1724943414171,20.5602586841196
"118",131,309,449,1493,1173,213,8.80202130419208,14.9816967167853,37.5111737876824,51.011010367148,20.6251672184633,3.4922927429964
"119",166,394,562,1357,1049,236,12.1213879161967,21.3609846271312,42.9007660365143,46.3643275741593,18.4448426361194,3.8693947762777
"120",160,439,607,1487,1144,217,11.9474055158746,21.8242350103493,44.9706547537277,50.8060096556926,20.115252598399,3.55787570530619
"121",140,307,450,1633,1170,269,8.0653312910386,14.9228937747304,31.7427623470782,55.794360301107,20.5724174301808,4.41045421533348
"122",136,268,409,1533,1125,218,7.80866938217121,13.5482376315728,38.0497122446104,52.3776817768506,19.7811706059431,3.57427144588364
"123",172,301,474,1671,1251,267,8.30228760313598,13.6838945798327,39.2903726130181,57.0926981403244,21.9966617138087,4.37766273417858
"124",138,288,430,1758,1383,209,7.15888633453975,11.8432484881169,40.2718668437539,60.0652084564275,24.3176523982394,3.4267097806866
"125",162,336,504,1804,1304,259,8.17692257098557,14.65420355489,38.1490925968278,61.6368805775854,22.9285746401332,4.246496809559
"126",119,210,329,1816,1337,245,5.30244211139198,8.93281667706458,29.6244188190181,62.0468820004962,23.5088223112408,4.01695644147473
"127",369,324,693,1362,286,1045,14.891965078803,64.4287211239469,21.5366940077466,46.5351615003721,5.02881314959976,17.133548903433
"128",388,317,707,1407,272,1125,14.7069019991694,66.281280802234,21.035273598027,48.0726668362875,4.78264747094802,18.4452081496289
"129",223,170,394,1502,408,1085,7.67754147553901,23.6967775738796,12.5355700126016,51.3185114343311,7.17397120642203,17.7893785265309
"130",206,119,327,1633,514,1111,5.86080740482139,13.1669254379378,11.3089458190883,55.794360301107,9.0377970590709,18.2156677815446
"131",173,127,300,1687,396,1241,5.20477613051414,18.2393378901983,8.50243427734534,57.6393667042054,6.96297205329197,20.3471140566128
"132",135,149,287,1717,353,1297,4.89223695269832,24.0055741088367,6.34837765521614,58.6643702614823,6.20689175457593,21.2652755289499
"133",165,74,241,1681,382,1217,4.19609402549027,11.0171405683796,8.26917776015417,57.43436599275,6.71680637464024,19.9536162827541
"134",154,127,282,1664,372,1184,4.96011411793673,19.4160693669853,7.93300961021998,56.8535306436264,6.54097374703186,19.4125568436983
"135",250,135,388,1652,386,1157,6.87412720921068,19.8905594143446,13.1787922449748,56.4435292207157,6.78713942568359,18.9698718481072
"136",42,49,91,8118,5660,1826,0.328086399453125,0.492357074679902,1.40287016506529,277.365962599134,99.5212672263449,29.9386222944198
"137",24,77,101,8534,6449,1731,0.3463894190102,0.679045510257863,0.845635362353458,291.579345260041,113.394461544646,28.3810269395623
"138",36,60,96,8894,6632,1989,0.315914812940944,0.514525930434057,1.10391765628494,303.879387947364,116.61219862988,32.6111280085438
"139",20,55,75,8893,6673,1875,0.246836200724653,0.468750882624324,0.650575472103927,303.845221162121,117.333112403074,30.7420135827148
"140",28,52,81,8631,6454,1808,0.274675411851221,0.458220923647378,0.944557861876554,294.89352342857,113.482377858451,29.6434989640257
"141",23,31,54,8547,6443,1614,0.184916616332272,0.27363654376791,0.869147064265238,292.023513468194,113.288961968081,26.4627252920009
"142",23,46,69,8450,6281,1748,0.238994696615478,0.416513969774926,0.802519085654516,288.709335299665,110.440473400825,28.6597545293789
"143",26,46,72,8313,6312,1669,0.253495700676358,0.414468353003218,0.950136436940277,284.028485721434,110.985554546411,27.3644910237605
"144",32,49,81,8000,6031,1668,0.296340434960986,0.462069481460495,1.17009976997109,273.334281940512,106.044657710616,27.348095283183
"145",31,38,69,6377,4964,965,0.316685774878594,0.435363842614388,1.95931084539071,217.88158949183,87.2833163448014,15.8218896572372
"146",11,29,40,6827,5181,1054,0.171484933981297,0.318335402266362,0.63653316471269,233.256642850984,91.0988843639034,17.2811105686301
"147",16,9,27,6893,5237,1326,0.114644009849987,0.0977373296917702,0.735945104189963,235.511650676993,92.0835470785103,21.7407520056959
"148",18,72,90,6662,5086,1273,0.39539735809865,0.805112694606056,0.862408569658584,227.619123285961,89.4284744016237,20.8717777550911
"149",9,8,17,7203,5511,1422,0.0690766692799367,0.0825581798981109,0.386021838669261,246.103354102188,96.90136107498,23.3147431011309
